localminute,dataid,grid
2019-03-13 00:00:00-05,1169,0
2019-03-13 00:00:00-05,890,0.297
2019-03-13 00:00:00-05,7429,0.355
2019-03-13 00:00:00-05,7741,0.123
2019-03-13 00:00:00-05,171,0.334
2019-03-13 00:00:00-05,8626,0.481
2019-03-13 00:00:00-05,1103,0.194
2019-03-13 00:00:00-05,8243,0.413
2019-03-13 00:00:00-05,8967,0.305
2019-03-13 00:00:00-05,252,1.075
2019-03-13 00:00:00-05,8467,0.834
2019-03-13 00:00:00-05,3310,0.203
2019-03-13 00:00:00-05,5246,0.545
2019-03-13 00:00:00-05,3044,0
2019-03-13 00:00:00-05,7850,0.572
2019-03-13 00:00:00-05,7541,0.742
2019-03-13 00:00:00-05,9052,0.441
2019-03-13 00:00:00-05,1192,0.700
2019-03-13 00:00:00-05,8086,0.205
2019-03-13 00:00:00-05,1718,0.586
2019-03-13 00:00:00-05,9971,0.594
2019-03-13 00:00:00-05,5796,0.451
2019-03-13 00:00:00-05,8317,1.846
2019-03-13 00:00:00-05,9701,0.066
2019-03-13 00:00:00-05,5615,0.470
2019-03-13 00:00:00-05,8450,0.740
2019-03-13 00:00:00-05,3935,0.426
2019-03-13 00:00:00-05,3723,0.211
2019-03-13 00:00:00-05,7024,0.693
2019-03-13 00:00:00-05,4357,0.148
2019-03-13 00:00:00-05,9248,0.431
2019-03-13 00:00:00-05,5129,0.255
2019-03-13 00:00:00-05,5439,0.249
2019-03-13 00:00:00-05,1283,2.777
2019-03-13 00:00:00-05,6643,0.523
2019-03-13 00:00:00-05,2980,0.171
2019-03-13 00:00:00-05,4732,0.327
2019-03-13 00:00:00-05,3134,0.123
2019-03-13 00:00:00-05,8292,0.461
2019-03-13 00:00:00-05,1185,0
2019-03-13 00:00:00-05,8767,0.314
2019-03-13 00:00:00-05,5545,0.233
2019-03-13 00:00:00-05,6578,0.151
2019-03-13 00:00:00-05,1792,0.548
2019-03-13 00:00:00-05,8995,0.241
2019-03-13 00:00:00-05,8236,0.160
2019-03-13 00:00:00-05,668,0.576
2019-03-13 00:00:00-05,7108,0.578
2019-03-13 00:00:00-05,8847,0.379
2019-03-13 00:00:00-05,9121,0.210
2019-03-13 00:00:00-05,9134,0.760
2019-03-13 00:00:00-05,7973,0.349
2019-03-13 00:00:00-05,8084,0.686
2019-03-13 00:00:00-05,3635,0.665
2019-03-13 00:00:00-05,5892,1.150
2019-03-13 00:00:00-05,4447,0.271
2019-03-13 00:00:00-05,1354,0.383
2019-03-13 00:00:00-05,7739,0.201
2019-03-13 00:00:00-05,8419,0.815
2019-03-13 00:01:00-05,668,0.578
2019-03-13 00:01:00-05,3935,0.446
2019-03-13 00:01:00-05,890,0.297
2019-03-13 00:01:00-05,1185,0
2019-03-13 00:01:00-05,5545,0.234
2019-03-13 00:01:00-05,7429,0.356
2019-03-13 00:01:00-05,8626,0.481
2019-03-13 00:01:00-05,5892,1.152
2019-03-13 00:01:00-05,7024,0.693
2019-03-13 00:01:00-05,7741,0.281
2019-03-13 00:01:00-05,3723,0.216
